46302,PO BOX,Boone Grove,,,IN,Porter County,America/Indiana/Indianapolis,219,41.35,-87.13,NA,US,0,0,
46303,STANDARD,Cedar Lake,,,IN,Lake County,America/Indiana/Indianapolis,219,41.37,-87.43,NA,US,0,11807,
46304,STANDARD,Chesterton,"Burns Harbor, Dune Acres, Porter",,IN,Porter County,America/Indiana/Indianapolis,219,41.6,-87.05,NA,US,0,21130,
46307,STANDARD,Crown Point,,"Lakes Of Four Seasons, Palmer",IN,Lake County,America/Indiana/Indianapolis,219,41.42,-87.35,NA,US,0,51892,
46308,PO BOX,Crown Point,,,IN,Lake County,America/Indiana/Indianapolis,219,41.42,-87.35,NA,US,0,466,
46310,STANDARD,Demotte,,Kersey,IN,Jasper County,America/Indiana/Indianapolis,219,41.16,-87.26,NA,US,0,11377,
46311,STANDARD,Dyer,,,IN,Lake County,America/Indiana/Indianapolis,219,41.5,-87.5,NA,US,0,18518,
46312,STANDARD,East Chicago,,,IN,Lake County,America/Indiana/Indianapolis,219,41.64,-87.45,NA,US,0,19514,
46319,STANDARD,Griffith,,New Elliott,IN,Lake County,America/Indiana/Indianapolis,219,41.52,-87.42,NA,US,0,15622,
46320,STANDARD,Hammond,,,IN,Lake County,America/Indiana/Indianapolis,219,41.62,-87.49,NA,US,0,9295,
46321,STANDARD,Munster,Hammond,,IN,Lake County,America/Indiana/Indianapolis,219,41.54,-87.5,NA,US,0,21095,
46322,STANDARD,Highland,Hammond,,IN,Lake County,America/Indiana/Indianapolis,219,41.54,-87.45,NA,US,0,21160,
46323,STANDARD,Hammond,,Hessville,IN,Lake County,America/Indiana/Indianapolis,219,41.62,-87.49,NA,US,0,17476,
46324,STANDARD,Hammond,,South Calumet Avenue,IN,Lake County,America/Indiana/Indianapolis,219,41.62,-87.49,NA,US,0,17081,
46325,PO BOX,Hammond,,,IN,Lake County,America/Indiana/Indianapolis,219,41.62,-87.49,NA,US,0,0,
46327,STANDARD,Hammond,,,IN,Lake County,America/Indiana/Indianapolis,219,41.62,-87.49,NA,US,0,8413,
46340,STANDARD,Hanna,,,IN,La Porte County,America/Indiana/Indianapolis,219,41.4,-86.75,NA,US,0,1052,
46341,STANDARD,Hebron,,,IN,Porter County,,219,41.32,-87.2,NA,US,0,9142,
